,time,pstate1,pstate2,pstate3,se1,se2,se3
50,49.0,0.6551913533682403,0.13114839075852114,0.21366025587323914,0.008661655100487803,0.006683322528569909,0.0074280300923658575
51,50.0,0.6377942649338469,0.13819288885189,0.2240128462142636,0.008808266720938176,0.006886033425066902,0.007606057660603288
52,51.0,0.6210592970900433,0.14870581890092036,0.23023488400903686,0.008949932168849468,0.007153682564732189,0.007722633239413532
53,52.0,0.6065034587099205,0.15588954766304747,0.23760699362703241,0.009055042541668298,0.007327950426744836,0.007838259757150107
54,53.0,0.5932612298519879,0.16150579671119727,0.24523297343681516,0.00915517436664281,0.007504695455191181,0.00798453724888851
55,54.0,0.57699549655522,0.16797090616681667,0.2550335972779637,0.00926088006971886,0.007701167149670404,0.008159666777656305
56,55.0,0.5674370500892507,0.17134255655522607,0.2612203933555236,0.009328641574905813,0.007823600033439335,0.00827686181071969
57,56.0,0.5570325047267636,0.17613569954569383,0.26683179572754295,0.009398555053344223,0.007968914265720389,0.008384879541642833
58,57.0,0.548887191409421,0.17897840018799502,0.2721344084025844,0.009451323390345736,0.008070097602718982,0.008481768617116222
59,58.0,0.5420994230619448,0.18068018453639728,0.2772203924016583,0.009495134087641813,0.008148284223418746,0.008573520170966138
60,59.0,0.5347343423870534,0.18099180023485908,0.2842738573780879,0.00952559576177493,0.008191524681720182,0.00867392396688085
61,60.0,0.5205287082679606,0.1820893247201964,0.29738196701184333,0.009560356319381009,0.008255503031410961,0.008831150313270928
62,61.0,0.5012079570895753,0.18240893847926046,0.3163831044311646,0.009572535162132962,0.008290880185385829,0.009016279273651229
63,62.0,0.4855285877957005,0.18069351029889877,0.3337779019054011,0.009576827335252423,0.00829443114119632,0.009183276089085243
64,63.0,0.47040668708804995,0.1807951681970871,0.3487981447148633,0.00957814077051975,0.008318722070038684,0.009315564965676912
65,64.0,0.45565368163078984,0.18089827319086077,0.3634480451783497,0.009575103179788621,0.008342553824534298,0.009438285551514318
