,time,pstate1,pstate2,pstate3,se1,se2,se3
49,53.0,0.531085665709063,0.10634995235979809,0.36256438193113893,0.022192037930736794,0.01395713999334765,0.021503845488903453
50,54.0,0.516620297382357,0.11451195111642895,0.3688677515012141,0.02223308473425686,0.014439474914831907,0.021604555852342958
51,55.0,0.5124873350032982,0.11864491349548777,0.3688677515012141,0.02224493911721746,0.014664455086385537,0.021604555852342958
52,56.0,0.50628789143471,0.12484435706407604,0.3688677515012141,0.022258499951791764,0.014989348491864486,0.021604555852342958
53,57.0,0.5042214102451805,0.12260586042380976,0.3731727293310098,0.02226297857089397,0.014887408805542627,0.02166108461032307
54,58.0,0.4876895607289451,0.13483574992517472,0.3774746893458803,0.02226277880222553,0.015562454628315705,0.021767360368190717
55,59.0,0.48149011716035683,0.1346882123066089,0.3838216705330344,0.022262030746645907,0.015568958651610067,0.021846315991049844
56,60.0,0.462891786454592,0.13668326655381682,0.4004249469915913,0.02221648652306524,0.01565864819162559,0.02201087352494978
57,61.0,0.44194645675076427,0.13241191447401005,0.4256416287752258,0.022133819788135767,0.015448919848469498,0.022212186238171932
58,62.0,0.42707325868703666,0.13453665705454257,0.4383900842584209,0.02206800548371452,0.015548809913707393,0.022307043500615523
59,63.0,0.4056122909138186,0.12802681880996794,0.4663608902762136,0.02192776682257383,0.015222579181987272,0.022441807092973488
60,64.0,0.38835219342812427,0.12583200493681693,0.48581580163505894,0.02179250375376677,0.01512896381603783,0.02250927027026571
61,65.0,0.3732496081281417,0.12797751198174367,0.49877287989011476,0.021651622018119623,0.01524583273406036,0.022538262904700738
62,66.0,0.3689094964057214,0.12580840160917175,0.5052821019851069,0.021613757017830398,0.015138359233611317,0.022551144626693827
63,67.0,0.362399328822091,0.12573418345056844,0.5118664877273407,0.021550994854849688,0.015169823313069222,0.02256556377404265
64,68.0,0.35805921709967076,0.13007429517298869,0.5118664877273407,0.021507710256350433,0.015400138624987496,0.02256556377404265
